id,property_type,room_type,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people
46161,Apartment,Private room,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",,,4,730,t,2,1,1,1,1,10
46172,Loft,Entire home/apt,Real Bed,$48.00 ,$336.00 ,"$1,440.00 ",$500.00 ,$50.00 ,60,600,t,2,1,1,2,1,0
47938,Apartment,Entire home/apt,Real Bed,$160.00 ,"$1,120.00 ","$4,800.00 ",,$50.00 ,3,60,t,6,2,2,3,1,0
48955,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",,,4,723,t,2,1,1,1,1,0
52734,Apartment,Entire home/apt,Real Bed,$88.00 ,$616.00 ,"$2,640.00 ",,$45.00 ,5,18,t,2,1,1,1,2,15
54952,Apartment,Private room,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ",$90.00 ,$10.00 ,4,30,t,2,1,1,2,1,10
55298,Apartment,Shared room,Couch,$88.00 ,$616.00 ,"$2,640.00 ",,$10.00 ,2,3,t,1,,1,1,1,0
55455,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",,$25.00 ,2,90,t,2,1,1,1,1,0
55853,Apartment,Entire home/apt,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ",$500.00 ,$100.00 ,60,365,t,2,1,1,2,1,10
57049,Apartment,Entire home/apt,Real Bed,$200.00 ,"$1,400.00 ","$6,000.00 ","$1,500.00 ",$60.00 ,3,15,t,5,2,2,5,4,20
57209,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$250.00 ,$75.00 ,3,360,t,5,1,2,4,2,15
57792,House,Entire home/apt,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ","$1,200.00 ",$50.00 ,2,365,t,1,1,1,1,1,10
58041,Condominium,Entire home/apt,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ","$2,400.00 ",$70.00 ,90,365,t,4,1,2,4,1,0
58780,Apartment,Entire home/apt,Real Bed,$130.00 ,$910.00 ,"$3,900.00 ",$300.00 ,$39.00 ,5,50,t,4,1.5,2,3,1,15
59249,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$300.00 ,$50.00 ,5,360,t,4,1,1,1,2,20
60161,House,Entire home/apt,Real Bed,$120.00 ,$840.00 ,"$3,600.00 ",$200.00 ,$50.00 ,2,150,t,10,1.5,2,5,2,25
63052,Apartment,Private room,Real Bed,$37.00 ,$259.00 ,"$1,110.00 ",$400.00 ,$25.00 ,6,90,t,2,1,1,1,1,10
63468,Apartment,Entire home/apt,Real Bed,$52.00 ,$364.00 ,"$1,560.00 ",$0.00 ,$30.00 ,2,730,t,2,1,1,2,1,8
64245,Apartment,Private room,Pull-out Sofa,$44.00 ,$308.00 ,"$1,320.00 ",$150.00 ,$15.00 ,3,31,t,6,1,3,3,1,18
64590,Apartment,Entire home/apt,Real Bed,$102.00 ,$714.00 ,"$3,060.00 ",$200.00 ,$30.00 ,2,365,t,4,1,2,2,2,25
68142,Apartment,Private room,Real Bed,$29.00 ,$203.00 ,$870.00 ,$85.00 ,$15.00 ,2,16,t,2,1,1,2,1,15
68448,Apartment,Entire home/apt,Real Bed,$84.00 ,$588.00 ,"$2,520.00 ",$200.00 ,,3,200,t,4,1,0,2,2,10
72079,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$200.00 ,$60.00 ,3,360,t,2,1,1,1,2,20
73302,Apartment,Entire home/apt,Real Bed,$69.00 ,$483.00 ,"$2,070.00 ",$0.00 ,$40.00 ,3,18,t,2,1,1,2,2,10
74614,Apartment,Entire home/apt,Real Bed,$185.00 ,"$1,295.00 ","$5,550.00 ",$0.00 ,$45.00 ,4,360,t,6,1,3,6,4,25
80843,Apartment,Entire home/apt,Pull-out Sofa,$49.00 ,$343.00 ,"$1,470.00 ",$250.00 ,$30.00 ,2,182,t,2,1,1,1,1,10
81049,Apartment,Entire home/apt,Real Bed,$155.00 ,"$1,085.00 ","$4,650.00 ",$300.00 ,$60.00 ,4,28,t,5,1,2,3,2,25
81081,Apartment,Entire home/apt,Real Bed,$66.00 ,$462.00 ,"$1,980.00 ",$200.00 ,$30.00 ,3,32,t,2,1,1,1,1,0
82893,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",,$30.00 ,3,365,t,2,1,1,1,1,0
83183,Apartment,Entire home/apt,Real Bed,$53.00 ,$371.00 ,"$1,590.00 ",,$20.00 ,2,30,t,2,1,1,1,1,20
83568,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$0.00 ,$30.00 ,3,30,t,3,2,1,2,2,20
83614,Apartment,Entire home/apt,Real Bed,$92.00 ,$644.00 ,"$2,760.00 ",$190.00 ,$36.00 ,1,1125,t,5,1.5,2,0,1,19
85560,Condominium,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",,$30.00 ,3,365,t,2,1,1,1,1,0
86514,Apartment,Private room,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$150.00 ,$40.00 ,2,14,t,2,1,1,2,1,10
87549,Apartment,Private room,Real Bed,$48.00 ,$336.00 ,"$1,440.00 ",$0.00 ,$25.00 ,2,120,t,2,1,1,1,1,10
89102,Apartment,Entire home/apt,Real Bed,$114.00 ,$798.00 ,"$3,420.00 ",,$40.00 ,10,365,t,4,1,1,2,2,15
91290,Apartment,Entire home/apt,Real Bed,$60.00 ,$420.00 ,"$1,800.00 ",,$20.00 ,2,10,t,3,1,1,2,1,0
102882,Apartment,Entire home/apt,Real Bed,$506.00 ,"$3,542.00 ","$15,180.00 ",$400.00 ,$120.00 ,3,1125,t,14,2,5,10,8,45
