country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8705386
Germany,Berlin,Mitte,Moabit West,8706589
Germany,Berlin,Mitte,Alexanderplatz,8709468
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8709500
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8710838
Germany,Berlin,Neukölln,Reuterstraße,8712034
Germany,Berlin,Reinickendorf,West 4,8714320
Germany,Berlin,Mitte,Brunnenstr. Süd,8716837
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8724058
Germany,Berlin,Marzahn - Hellersdorf,Biesdorf,8725453
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,8726209
Germany,Berlin,Charlottenburg-Wilm.,Düsseldorfer Straße,8730807
Germany,Berlin,Mitte,Alexanderplatz,8731510
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8737531
Germany,Berlin,Mitte,Alexanderplatz,8740975
Germany,Berlin,Charlottenburg-Wilm.,Kantstraße,8745464
Germany,Berlin,Neukölln,Rixdorf,8745931
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,8747868
Germany,Berlin,Pankow,Pankow Zentrum,8751621
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8751766
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8752704
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8753525
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,8753863
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8755310
Germany,Berlin,Mitte,Moabit Ost,8757753
Germany,Berlin,Neukölln,Reuterstraße,8759450
Germany,Berlin,Pankow,Pankow Süd,8760360
