country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,9490216
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,9490403
Germany,Berlin,Lichtenberg,Neu Lichtenberg,9491686
Germany,Berlin,Pankow,Prenzlauer Berg Ost,9492761
Germany,Berlin,Pankow,Prenzlauer Berg Süd,9494117
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,9499858
Germany,Berlin,Mitte,Alexanderplatz,9499965
Germany,Berlin,Neukölln,Schillerpromenade,9500922
Germany,Berlin,Tempelhof - Schöneberg,Tempelhof,9501847
Germany,Berlin,Mitte,Alexanderplatz,9502398
Germany,Berlin,Neukölln,Rixdorf,9503256
Germany,Berlin,Pankow,Pankow Zentrum,9503311
Germany,Berlin,Charlottenburg-Wilm.,Kurfürstendamm,9507374
Germany,Berlin,Neukölln,Rixdorf,9509188
Germany,Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,9510402
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,9510847
Germany,Berlin,Mitte,Moabit Ost,9516486
Germany,Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,9518186
Germany,Berlin,Neukölln,Rixdorf,9519376
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,9520198
